mol,cs,logPa,T,dHv,logPa_25
CC(C)Cc1ccc(cc1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-1.0899094544059318,325.15,105999.99999999996,-2.6319692552795457
CC(C)Cc1ccc(cc1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-1.0163737128754655,326.15,105999.99999999996,-2.6106436567337856
CC(C)Cc1ccc(cc1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-0.9393021596463883,327.15,105999.99999999996,-2.5854630648113797
CC(C)Cc1ccc(cc1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-0.9136401693252518,328.15,105999.99999999996,-2.6113757721290374
CC(C)Cc1ccc(cc1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-0.8477116556169435,329.15,105999.99999999996,-2.5967085749406484
CC(C)Cc1ccc(cc1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-0.7851561519523022,330.15,105999.99999999996,-2.585103854301939
CC(C)Cc1ccc(cc1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-0.721246399047171,331.15,105999.99999999996,-2.571837164156845
CC(C)Cc1ccc(cc1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-0.6777807052660807,332.15,105999.99999999996,-2.578709592218976
CC(C)Cc1ccc(cc1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-0.6216020990518624,333.15,105999.99999999996,-2.5725669129097017
CC(C)Cc1ccc(cc1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-0.5559552040819237,334.15,105999.99999999996,-2.5566564630137645
CC(C)Cc1ccc(cc1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-0.4989407377822485,335.15,105999.99999999996,-2.5490816406836667
CC(C)Cc1ccc(cc1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-0.4473317838878068,336.15,105999.99999999996,-2.5466181784817237
CC(C)Cc1ccc(cc1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-0.38615817812393083,337.15,105999.99999999996,-2.5342985295345217
CC(C)Cc1ccc(cc1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-0.3565473235138126,338.15,105999.99999999996,-2.5532526833050775
CC(C)Cc1ccc(cc1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-0.2975694635544747,339.15,105999.99999999996,-2.542553439225273
CC(C)Cc1ccc(cc1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-0.24872089601665776,340.15,105999.99999999996,-2.541699620944151
FC(F)(F)c1ccccc1,FC(F)(F)c1ccccc1,3.6972293427597176,298.15,37100.0,3.6972293427597176
c1ccccc1C(C)(C)C,CC(C)(C)c1ccccc1,5.016996422698841,443.31499999999994,47465.76345191704,2.294011055548988
c1ccccc1C(C)(C)C,CC(C)(C)c1ccccc1,5.010545691844125,442.715,47465.76345191704,2.2951399060044766
c1ccccc1C(C)(C)C,CC(C)(C)c1ccccc1,5.00318802154302,442.03599999999994,47465.76345191704,2.2963846137831148
c1ccccc1C(C)(C)C,CC(C)(C)c1ccccc1,4.996714018582685,441.437,47465.76345191704,2.2975214243164124
c1ccccc1C(C)(C)C,CC(C)(C)c1ccccc1,4.9896560853419665,440.79599999999994,47465.76345191704,2.29863086204484
c1ccccc1C(C)(C)C,CC(C)(C)c1ccccc1,4.923006665331357,434.799,47465.76345191704,2.309559427283645
c1ccccc1C(C)(C)C,CC(C)(C)c1ccccc1,4.82473087723656,426.299,47465.76345191704,2.3249800367340527
c1ccccc1C(C)(C)C,CC(C)(C)c1ccccc1,4.729905018212648,418.465,47465.76345191704,2.339032330110918
c1ccccc1C(C)(C)C,CC(C)(C)c1ccccc1,4.637025646731305,411.11799999999994,47465.76345191704,2.352033227903055
c1ccccc1C(C)(C)C,CC(C)(C)c1ccccc1,4.462081445418195,398.08399999999995,47465.76345191704,2.3745435700084294
c1ccccc1C(C)(C)C,CC(C)(C)c1ccccc1,4.370611849553652,391.674,47465.76345191704,2.3850009626216053
c1ccccc1C(C)(C)C,CC(C)(C)c1ccccc1,4.298088088420634,386.87,47465.76345191704,2.3910810538159257
c1ccccc1C(C)(C)C,CC(C)(C)c1ccccc1,4.221185998253224,381.69599999999997,47465.76345191704,2.4010498777154115
c1ccccc1C(C)(C)C,CC(C)(C)c1ccccc1,4.141141011050999,376.621,47465.76345191704,2.4085323926534983
c1ccccc1C(C)(C)C,CC(C)(C)c1ccccc1,4.068989499423795,372.167,47465.76345191704,2.4151649574068834
c1ccccc1C(C)(C)C,CC(C)(C)c1ccccc1,4.014203522514671,368.865,47465.76345191704,2.4200141403195516
c1ccccc1C(C)(C)C,CC(C)(C)c1ccccc1,3.9537549796850007,365.344,47465.76345191704,2.4243435513637928
c1ccccc1C(C)(C)C,CC(C)(C)c1ccccc1,3.886228142429817,361.462,47465.76345191704,2.4296989241575178
c1ccccc1C(C)(C)C,CC(C)(C)c1ccccc1,3.8079488582472103,357.027,47465.76345191704,2.4366237501633243
c1ccccc1C(C)(C)C,CC(C)(C)c1ccccc1,2.4657166124137304,298.15,47465.76345191704,2.4657166124137304
c1ccccc1C(C)(C)C,CC(C)(C)c1ccccc1,1.5562655841673478,271.15,47465.76345191704,2.384303018066226
c1ccccc1C(C)(C)C,CC(C)(C)c1ccccc1,1.758370275587947,275.45,47465.76345191704,2.443667378588175
c1ccccc1C(C)(C)C,CC(C)(C)c1ccccc1,2.038715672392077,283.95,47465.76345191704,2.454571016364198
c1ccccc1C(C)(C)C,CC(C)(C)c1ccccc1,2.15832557549531,286.84999999999997,47465.76345191704,2.485907103752948
c1ccccc1C(C)(C)C,CC(C)(C)c1ccccc1,2.456366033129043,298.15,47465.76345191704,2.456366033129043
CC(C)(C)NC(=O)N,CC(C)(C)NC(N)=O,-0.6796459671823282,333.24,,
CC(C)(C)NC(=O)N,CC(C)(C)NC(N)=O,-0.4445427827953505,338.11,,
CC(C)(C)NC(=O)N,CC(C)(C)NC(N)=O,-0.27810698378504256,342.25,,
CC(C)(C)NC(=O)N,CC(C)(C)NC(N)=O,-0.10402526764093542,346.21,,
