ikey,raw_mean,raw_median,n_obs,homoset_Ladaptive_t2.0,homoset_Ladaptive_t1.0,homoset_Lfixed_t2.0,homoset_Lfixed_t1.0,conflict,n_sources,n_accepted_sources,fell_back_raw,mixle_gauss,mixle_gauss_sd,mixle_robust,mixle_robust_sd,min_obs_weight
OXQGTIUCKGYOAA-UHFFFAOYSA-N,-5.708598620916577,-5.708598620916577,2,-5.71110406313096,-5.71110406313096,-5.708598620916577,-5.708598620916577,False,1,1,False,-5.965938883014013,0.7667002409729788,-5.7965475422635695,0.24278877813421107,1.0
OXTNCQMOKLOUAM-UHFFFAOYSA-N,-17.66809036051656,-17.66809036051656,1,-17.67059580273094,-17.67059580273094,-17.66809036051656,-17.66809036051656,False,1,1,False,-17.036830467148537,1.064785492392406,-17.673125083523846,0.3449363023698654,1.0
OYIKARCXOQLFHF-UHFFFAOYSA-N,-10.883910319053944,-10.883910319053944,1,-10.886415761268328,-10.886415761268328,-10.883910319053944,-10.883910319053944,False,1,1,False,-10.73611026717188,1.064785492392406,-10.934308920525798,0.3432758978966203,1.0
OZCMOJQQLBXBKI-UHFFFAOYSA-N,-1.2938395089991102,-1.2938395089991102,1,-1.296344951213493,-1.296344951213493,-1.2938395089991102,-1.2938395089991102,False,1,1,False,-1.8294550040706972,1.064785492392406,-1.4071453803466607,0.3429256393728711,1.0
OZDGMOYKSFPLSE-UHFFFAOYSA-N,-4.724714568658257,-4.724714568658257,1,-4.72722001087264,-4.72722001087264,-4.724714568658257,-4.724714568658257,False,1,1,False,-5.0158362115084145,1.064785492392406,-4.8155457553750844,0.3427892859827188,1.0
PAAZPARNPHGIKF-UHFFFAOYSA-N,-2.0146943881927224,-2.1,18,-2.1,-2.1,-2.1004302103250474,-2.1004302103250474,False,4,4,False,-2.203481515260281,0.13635236457789499,-2.1047113719810917,0.015975623548324342,0.09131591840993086
PAFZNILMFXTMIY-UHFFFAOYSA-N,-4.940629390303742,-5.112642351796909,8,-5.115147794011291,-5.115147794011291,-4.59,-4.59,True,2,2,False,-4.778958705870756,0.21680268986447035,-4.598617083845426,0.02820773041416128,0.2621530864820894
PAMIQIKDUOTOBW-UHFFFAOYSA-N,-3.889457754270757,-3.89,7,-3.89,-3.89,-3.89,-3.89,False,3,3,False,-3.892517917929631,0.12440015966954458,-3.8895304558408688,0.011575284204813345,1.0
PAYFWJAKKLILIT-UHFFFAOYSA-N,-4.429870654650677,-4.429870654650677,2,-4.43237609686506,-4.43237609686506,-4.429870654650677,-4.429870654650677,False,1,1,False,-4.734457254776486,0.7667002409729788,-4.522018585175391,0.2427946210196756,1.0
PAYRUJLWNCNPSJ-UHFFFAOYSA-N,-5.339234514225767,-5.49,18,-5.49,-5.49,-5.49,-5.49,True,4,4,False,-5.660461252881626,0.1029527913234357,-5.49224099865608,0.009991171350358144,0.003463066552108786
