ikey,dHvap_kJmol
BVPRDJDJPZQSIU-UHFFFAOYSA-N,169.0561441583564
BVUYQSFBRKUJNK-UHFFFAOYSA-N,58.0475507687176
BWDBEAQIHAEVLV-UHFFFAOYSA-N,70.92999220927065
BWEKDYGHDCHWEN-UHFFFAOYSA-N,35.599999999999994
BWRSHLROMAZEBM-UHFFFAOYSA-N,46.6651318074188
BWVLRRQCABCGBO-UHFFFAOYSA-N,111.79669783525868
BWZVCCNYKMEVEX-UHFFFAOYSA-N,50.60000000000001
BXCOOPLIKAAONJ-UHFFFAOYSA-N,35.900000000000006
BXIIJPAVISPOGI-UHFFFAOYSA-N,32.023091174625705
BXWNKGSJHAJOGX-UHFFFAOYSA-N,107.77558383882663
BYBGSCXPMGPLFP-UHFFFAOYSA-N,38.5
BYDRTKVGBRTTIT-UHFFFAOYSA-N,48.345742366462574
BYEAHWXPCBROCE-UHFFFAOYSA-N,41.60000000000001
BYEVBITUADOIGY-UHFFFAOYSA-N,70.06637870056947
BYGQBDHUGHBGMD-UHFFFAOYSA-N,39.088772482479506
BZHJMEDXRYGGRV-UHFFFAOYSA-N,20.1
BZHMBWZPUJHVEE-UHFFFAOYSA-N,32.8
BZLVMXJERCGZMT-UHFFFAOYSA-N,31.50354220010568
CAAAXQFHDYHTTC-UHFFFAOYSA-N,31.884010735587157
CAAVRWGWEIQJEH-UHFFFAOYSA-N,20.907850686219692
CAHRNPIQVKCUEA-UHFFFAOYSA-N,65.49999999999999
CAKWRXVKWGUISE-UHFFFAOYSA-N,53.55489125557837
CAQYAZNFWDDMIT-UHFFFAOYSA-N,39.8
CARWQMIFKGCKTP-UHFFFAOYSA-N,39.562981728708074
CATSNJVOTSVZJV-UHFFFAOYSA-N,47.0640406435947
CAWHJQAVHZEVTJ-UHFFFAOYSA-N,43.70000000000001
CBEFDCMSEZEGCX-UHFFFAOYSA-N,34.657660624435294
CBFCDTFDPHXCNY-UHFFFAOYSA-N,106.17632992600514
CBOQJANXLMLOSS-UHFFFAOYSA-N,117.30599659690984
CBTGNLZUIZHUHY-UHFFFAOYSA-N,44.70000000000001
CBVFSZDQEHBJEQ-UHFFFAOYSA-N,41.7
CBXRMKZFYQISIV-UHFFFAOYSA-N,53.89999999999998
CCCMONHAUSKTEQ-UHFFFAOYSA-N,100.43978128212956
CCOQPGVQAWPUPE-UHFFFAOYSA-N,59.84308112590827
CDJJKTLOZJAGIZ-UHFFFAOYSA-N,60.63115373158965
CDOSHBSSFJOMGT-UHFFFAOYSA-N,62.42096786889089
CDOYZTOFTGTGBC-UHFFFAOYSA-N,81.29999999999998
CDPKWOKGVUHZFR-UHFFFAOYSA-N,35.15115575824841
CEGGECULKVTYMM-UHFFFAOYSA-N,56.1
CEKHZXLTIDUORW-UHFFFAOYSA-N,91.39999999999996
CELKOWQJPVJKIL-UHFFFAOYSA-N,45.2
CEOCDNVZRAIOQZ-UHFFFAOYSA-N,64.89999999999998
CEPCPXLLFXPZGW-UHFFFAOYSA-N,52.10000000000001
CEQGYPPMTKWBIU-UHFFFAOYSA-N,68.42641535692749
CERQOIWHTDAKMF-UHFFFAOYSA-N,47.49999999999999
CETBSQOFQKLHHZ-UHFFFAOYSA-N,44.267607049113735
CETWDUZRCINIHU-UHFFFAOYSA-N,58.41779741400693
CEUSKTVXHGPJDP-UHFFFAOYSA-N,34.796799754879316
CFBPOLLJQOANPF-UHFFFAOYSA-N,243.00000000000009
CFJYNSNXFXLKNS-UHFFFAOYSA-N,46.71753200709708
CFNJLPHOBMVMNS-UHFFFAOYSA-N,58.449473039726286
CFOHRCNONSEVOJ-UHFFFAOYSA-N,43.33064322357509
CFOQKXQWGLAKSK-UHFFFAOYSA-N,185.12231950322405
CFXQEHVMCRXUSD-UHFFFAOYSA-N,47.8
CGBYBGVMDAPUIH-ARJAWSKDSA-L,52.27879803833086
CGHIBGNXEGJPQZ-UHFFFAOYSA-N,33.217028809830325
CGSVQEHFQXLIMF-UHFFFAOYSA-N,65.9
CGUKJIYDMJSQOD-UHFFFAOYSA-N,42.8
CGWXYEIWDQDFIU-UHFFFAOYSA-N,40.01868061754283
CGYGETOMCSJHJU-UHFFFAOYSA-N,64.50000000000003
CGZZMOTZOONQIA-UHFFFAOYSA-N,50.70000000000001
CHBAWFGIXDBEBT-UHFFFAOYSA-N,40.4
CHIKRULMSSADAF-UHFFFAOYSA-N,52.32176863299002
